"","num.trees","mtry","min.node.size","sample.fraction","mean_accuracy","sd_accuracy","min_accuracy","max_accuracy"
"70",500,500,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"71",1000,500,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"72",2000,500,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"73",500,20,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"74",1000,20,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"75",2000,20,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"76",500,40,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"77",1000,40,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"78",2000,40,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"79",500,60,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"80",1000,60,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"81",2000,60,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"82",500,100,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"83",1000,100,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"84",2000,100,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"85",500,200,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"86",1000,200,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"87",2000,200,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"88",500,500,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"89",1000,500,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"90",2000,500,3,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"91",500,20,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"92",1000,20,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"93",2000,20,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"94",500,40,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"95",1000,40,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"96",2000,40,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"97",500,60,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
